,art_D1,crime_rate,foreigner_rate,study_D2,training_D3,training_D4,press_D5,religion_D6,reside_D7,invest_D8,trade_D9,jobseek_D10,prof_E1,instructor_E2,research_E3,tech_E4,projob_E5,performance_E6,activity_E7,seasonal_E8,nonprojob_E9,sailor_E10,visit_F1,reside_F2,accompany_F3,permanent_F5,marriage_F6,etc_G1,tourism_H1,visitwork_H2,etc_others,ClusterLabel
nonprojob_E9,-0.046221149945130664,0.0028427865224480366,0.39790467314068967,-0.02920319179433439,0.25775794325539786,0.047073015225616195,-0.07559065430896017,0.22103958294439463,-0.007501869418668939,0.1682358455628583,0.104196897559211,0.09354184336659917,0.014505903277723078,0.19031029503281793,0.02542450312113193,-0.03335165512997637,-0.02594712445682792,0.04700080149118163,0.5124111108745988,0.020127303217365687,1.0,0.004500072459149072,0.5055607518347455,0.3247375531185814,0.32518211525999546,0.26510118432772267,0.5903467873151811,0.656725985875542,-0.09488145788142936,0.26659904530894846,0.16744809040480205,0.33874204310199685
sailor_E10,0.059970178993014135,0.21541640491795624,0.0859370142802998,-0.06819371274263673,0.006999167566210876,-0.03030246600260986,-0.04790853073020346,-0.02192171440163717,0.013392096994496373,-0.05056787443548387,0.00880185190521077,-0.005282106077405802,-0.0797119209359945,-0.031979553196034564,-0.055118066952476466,-0.008801180990927917,-0.022405156718636403,0.044947662636084,0.196420097282525,0.039211299880831954,0.004500072459149072,1.0,-0.04125740017579473,0.02612586056685263,-0.039152697247790746,-0.049519630444869345,-0.015492659193103015,-0.042054135284592835,-0.06548241503555907,-0.08298897450541408,-0.0496054894946241,-0.032201271263511314
visit_F1,0.11153812766612413,0.0042910130911861695,0.36827557047744297,0.20447185902341353,0.20413876851891072,0.26989120013990425,0.0037090994898865996,0.28314900272811766,0.10598852998070128,0.3856795394154759,0.1126772942503081,0.35411311497181797,0.18850196308339995,0.2979827312490674,0.14660838538562382,0.09968881117105519,0.004864985566917357,0.1293787302989106,0.350335274015218,-0.13456693292217523,0.5055607518347455,-0.04125740017579473,1.0,0.8036869970715577,0.5161509328072734,0.7779189326566287,0.8552282668178603,0.7214997447310447,0.058184656078504766,0.8137064913891614,0.3564528266515767,0.6590960925254281
reside_F2,0.3389154626977807,0.066452485705317,0.34434331459311657,0.2888583180220499,0.12708560030409616,0.29635665256718735,0.15243234545763296,0.29474920495570217,0.251164597024051,0.3777932169098208,0.09368378031749214,0.4435298421694553,0.19486826176596622,0.38363018113425573,0.2082327655010425,0.19142455387401797,0.054114733467193525,0.25059678344744657,0.4119658773481247,-0.15610384266707933,0.3247375531185814,0.02612586056685263,0.8036869970715577,1.0,0.4844138552363303,0.9521663889193881,0.8333459191657917,0.49364689650454413,0.3028905015024417,0.8568735657799795,0.2604441616866049,0.6475684670007864
accompany_F3,0.2546603094352485,0.038566350282645344,0.29756951356868905,0.39064397804791273,0.15897180386346654,0.4088995134173147,0.49882469565480564,0.3273098637629515,0.6219860644073771,0.8385660652938133,0.3252033718474629,0.4709688384717278,0.5765964336464343,0.5254096511818215,0.4019506621544983,0.017366063008538806,0.005530164964867024,0.3255435394844209,0.4839595763344325,-0.1635671578420766,0.32518211525999546,-0.039152697247790746,0.5161509328072734,0.4844138552363303,1.0,0.3270287341864653,0.5137017652976454,0.7040021394844473,0.3383217796167189,0.3117502788404682,0.4650938847479411,0.3988760460519464
permanent_F5,0.2451903018745038,0.021846170918568178,0.28039128584961515,0.20887078901126768,0.08993615994786198,0.21678986555391372,0.05876595183795351,0.24188166105398654,0.133859434050496,0.23915473569194196,0.0401684325650296,0.33637949062322103,0.10227296287669822,0.2875648288197684,0.13581578478423706,0.1764131941195035,0.043212351073882986,0.15679516493775708,0.26064574529278184,-0.16873472226510078,0.26510118432772267,-0.049519630444869345,0.7779189326566287,0.9521663889193881,0.3270287341864653,1.0,0.7993739422491444,0.4009440796625786,0.2410643112223906,0.9127230175142631,0.1971872147129905,0.6216199904970914
marriage_F6,0.20545286861619655,-0.009533403816266583,0.22563034690828565,0.254583311568779,0.21671608204602777,0.33502404466777214,0.03965125926791401,0.34633861793049514,0.14628397713767405,0.33989141392933975,0.1289040792076828,0.4538368570511103,0.18812894868338517,0.48480654349036917,0.21240853675835455,0.08595177181972372,0.09532369788780053,0.23911127549550085,0.44359792090264794,-0.18969292270930477,0.5903467873151811,-0.015492659193103015,0.8552282668178603,0.8333459191657917,0.5137017652976454,0.7993739422491444,1.0,0.6709663581798033,0.16089389596346396,0.6906027787167445,0.36268678765147466,0.6357638361253951
etc_G1,0.023333392509538895,0.032141864316136554,0.4740582280049086,0.15173074990473603,0.2094699456758792,0.2226000805419173,0.17576780575344675,0.28277302768741575,0.2858465913426681,0.5804855275071054,0.3244853463959019,0.29660287600818375,0.26374249397473143,0.3293639970621468,0.11991083798622668,0.021602469194355396,-0.010460208236971606,0.3057252564056625,0.5288435134973903,-0.09715020007453594,0.656725985875542,-0.042054135284592835,0.7214997447310447,0.49364689650454413,0.7040021394844473,0.4009440796625786,0.6709663581798033,1.0,0.04565951258531831,0.4241018511583559,0.5648449911605367,0.5292378870437854
tourism_H1,0.6714729932828644,0.0511813801552082,0.10791070029000603,0.538394831678462,-0.04444161129626145,0.4243594148106322,0.6494353118750537,0.23106372150619484,0.5769384790958064,0.3840343591699989,0.031701293963212515,0.5254660079482134,0.3021298350407026,0.45389422347803327,0.34842523939374026,0.030212149837916986,0.08169565279192807,0.3971848938332359,0.17214559209162425,-0.12967323655466234,-0.09488145788142936,-0.06548241503555907,0.058184656078504766,0.3028905015024417,0.3383217796167189,0.2410643112223906,0.16089389596346396,0.04565951258531831,1.0,0.15819260749153907,0.18681553034885356,0.3679044103072814
visitwork_H2,0.1634281624219141,0.015963828748483427,0.33453592327040904,0.15281391526521834,0.07350849057542547,0.1637674206566836,0.0017103942384006328,0.2039007015305817,0.08956671809771595,0.2535131557717335,0.03571492182094237,0.27843002137163414,0.10040255382609098,0.2090641221348529,0.09673040410877677,0.18369278303262124,0.007873470709027972,0.10347318765772615,0.20697392968476763,-0.14322326455493897,0.26659904530894846,-0.08298897450541408,0.8137064913891614,0.8568735657799795,0.3117502788404682,0.9127230175142631,0.6906027787167445,0.4241018511583559,0.15819260749153907,1.0,0.2140339300948723,0.5806741583278514
etc_others,0.05691650725525602,0.12737718338854803,0.24609553140674711,0.1417255683459802,0.0514807383202576,0.13182757736400447,0.46527788088619726,0.2891241498533916,0.4939915485578439,0.4879107182658099,0.12732823850761382,0.24963945347023142,0.1776064469234745,0.25675562996126616,0.028972259370096547,0.02019177410725352,-0.001004702209400351,0.45131392585608276,0.19822469576877677,-0.07066894683629342,0.16744809040480205,-0.0496054894946241,0.3564528266515767,0.2604441616866049,0.4650938847479411,0.1971872147129905,0.36268678765147466,0.5648449911605367,0.18681553034885356,0.2140339300948723,1.0,0.2539009928474198
ClusterLabel,0.37921624557265743,0.01567545029590991,0.3855315920334177,0.525194490826981,0.081317094551387,0.5203714662646968,0.16751808923880435,0.3060372964428584,0.13841079086256883,0.294952608305487,0.04686828071368837,0.600888832159071,0.33614638433694277,0.2598624527306929,0.2476039524242349,0.04331256008679211,-0.020783079410175133,0.17034729761498807,0.26703732705817446,-0.16335920662112027,0.33874204310199685,-0.032201271263511314,0.6590960925254281,0.6475684670007864,0.3988760460519464,0.6216199904970914,0.6357638361253951,0.5292378870437854,0.3679044103072814,0.5806741583278514,0.2539009928474198,1.0
